drill_diameter_mm,burden_m,spacing_m,bench_height_m,num_holes,stemming_m,charge_per_delay_kg,specific_drilling_m_per_m3,powder_factor,compressive_strength_kgf_cm2,fragmentation_pct
114.3,3.01,3.69,9.69,64,2.53,64.5,0.461,10.81,550.0,39.94
114.3,2.58,3.43,11.39,57,1.93,45.2,0.39,9.75,476.3,48.03
114.3,2.62,3.59,10.36,31,1.33,45.2,0.364,3.53,513.0,67.78
114.3,3.61,4.66,9.97,19,2.76,84.1,0.24,12.02,505.7,35.69
114.3,3.24,4.36,10.9,31,2.79,104.9,0.4,8.58,501.1,54.15
114.3,3.59,4.24,9.76,32,2.36,84.8,0.293,2.04,516.4,65.63
114.3,3.65,4.41,9.97,35,2.47,80.8,0.24,5.32,499.5,47.43
114.3,3.37,3.87,9.22,50,1.97,69.7,0.368,6.61,465.1,56.88
114.3,2.75,3.33,7.75,45,1.94,45.0,0.226,5.32,484.7,50.78
114.3,3.39,4.39,10.79,54,2.65,81.9,0.273,13.21,524.6,31.82
114.3,3.93,4.96,8.87,16,2.89,75.8,0.329,13.79,521.1,25.0
114.3,3.1,4.03,9.72,41,2.89,80.8,0.496,8.53,493.3,63.01
114.3,3.45,4.12,10.4,23,2.36,83.9,0.278,7.64,509.1,47.51
114.3,3.29,3.94,7.08,64,1.81,66.6,0.296,7.2,550.0,45.41
114.3,3.92,4.95,7.39,48,2.72,89.6,0.385,11.84,499.4,39.61
114.3,2.99,3.64,9.58,42,1.46,62.0,0.237,11.28,499.8,35.64
114.3,3.82,5.07,10.64,67,2.43,106.1,0.363,12.54,503.4,33.61
114.3,3.13,3.8,11.04,28,2.54,60.7,0.42,13.58,510.9,25.05
114.3,2.99,3.65,7.77,46,2.11,45.1,0.307,8.07,493.7,44.58
114.3,3.35,4.27,10.89,20,2.33,71.7,0.407,12.59,510.9,38.73
114.3,3.45,4.24,9.66,25,2.85,85.1,0.352,10.47,465.0,41.31
114.3,4.16,4.89,8.76,62,2.74,121.4,0.275,7.05,506.1,47.6
114.3,3.44,4.08,9.09,43,2.69,67.6,0.315,12.35,500.9,36.34
114.3,3.39,4.34,11.12,34,2.34,102.3,0.302,3.68,496.1,63.63
114.3,4.02,4.7,10.38,44,2.85,96.9,0.323,6.99,491.4,54.01
114.3,3.57,4.76,10.07,37,2.08,90.0,0.341,9.89,489.0,39.1
114.3,3.01,3.64,10.34,33,1.93,54.9,0.374,12.1,485.4,32.89
114.3,3.91,5.03,11.3,50,2.22,84.3,0.368,5.21,460.0,52.46
150.0,2.97,3.6,9.86,17,2.0,57.6,0.15,4.64,495.2,47.7
114.3,3.01,3.59,10.08,41,2.14,61.0,0.323,7.73,519.7,51.51
114.3,2.92,3.69,11.59,57,1.73,79.3,0.217,7.49,494.0,42.15
114.3,2.88,3.78,9.54,33,2.43,63.7,0.309,3.57,511.4,63.16
114.3,3.45,4.26,10.87,37,2.42,98.2,0.321,10.94,480.6,40.6
114.3,3.18,3.97,9.29,63,2.18,55.4,0.403,6.34,476.5,58.96
114.3,2.3,2.99,9.42,62,1.71,45.0,0.328,11.38,486.5,37.13
114.3,3.18,4.13,9.85,64,1.95,87.6,0.349,3.34,481.5,59.62
127.0,3.07,3.83,10.72,45,2.13,73.0,0.389,9.4,478.7,44.19
114.3,3.7,4.53,11.67,54,2.3,136.2,0.422,8.13,508.1,59.0
114.3,3.05,3.82,10.14,49,2.45,84.0,0.321,7.39,532.0,49.33
114.3,4.44,5.5,7.9,66,2.64,102.1,0.337,10.74,488.0,46.02
114.3,3.93,4.98,10.88,47,2.69,105.3,0.331,5.27,469.5,54.1
114.3,3.12,3.68,13.44,49,2.21,75.6,0.289,12.17,511.8,31.33
114.3,3.82,4.84,10.15,15,2.72,80.3,0.272,10.91,474.2,31.56
114.3,3.54,4.27,7.61,28,2.24,58.4,0.16,7.73,478.7,40.95
114.3,3.41,4.44,10.24,47,2.07,100.1,0.249,9.26,508.9,41.77
114.3,3.66,4.43,10.0,49,2.32,60.6,0.197,9.05,497.0,38.78
114.3,3.32,4.02,9.88,19,2.4,61.7,0.424,10.45,487.6,47.42
114.3,3.41,4.35,11.32,52,2.28,90.7,0.344,7.27,501.2,50.58
114.3,3.67,4.59,11.93,55,2.73,96.5,0.321,3.45,492.6,62.3
114.3,4.22,5.8,10.96,64,3.03,136.3,0.276,8.56,534.0,35.26
114.3,3.41,3.93,9.81,64,1.7,67.0,0.332,4.17,487.8,64.14
114.3,3.1,3.89,11.58,67,2.17,73.8,0.266,5.5,483.6,53.67
114.3,2.39,3.15,7.91,25,2.05,45.0,0.343,11.12,491.8,35.95
114.3,4.18,5.08,9.0,16,3.29,92.8,0.348,4.14,492.6,60.79
127.0,3.18,3.8,9.15,58,2.27,69.2,0.265,10.1,510.7,36.42
114.3,3.54,4.24,9.96,31,2.11,94.8,0.264,5.22,464.2,52.4
114.3,4.16,4.79,10.71,53,2.99,93.8,0.402,7.1,507.7,52.82
114.3,3.4,4.53,9.72,34,2.52,49.3,0.326,8.38,490.3,46.16
150.0,3.21,3.95,8.73,28,2.12,70.4,0.271,9.63,514.0,39.83
114.3,3.94,4.82,11.36,46,2.78,97.4,0.302,12.79,499.1,25.75
114.3,3.51,3.94,9.67,48,2.81,75.7,0.254,10.37,509.3,33.44
114.3,3.56,4.15,10.14,39,2.18,63.7,0.325,9.32,493.0,41.58
114.3,2.61,3.5,10.77,21,1.56,64.4,0.392,9.92,507.9,43.09
114.3,3.84,4.87,10.05,49,2.83,141.9,0.328,12.64,529.9,30.19
114.3,3.47,4.58,10.06,61,2.49,90.2,0.507,7.98,486.7,59.81
89.0,2.68,3.52,11.44,43,2.05,58.6,0.362,4.6,498.1,54.16
114.3,3.52,4.19,10.21,36,2.55,78.9,0.347,9.09,491.2,38.38
114.3,2.37,3.31,11.21,55,1.51,53.9,0.262,11.4,528.7,31.98
114.3,4.35,5.8,10.76,57,3.11,161.8,0.312,10.28,492.2,35.79
114.3,2.8,3.41,12.82,27,1.65,77.3,0.272,7.53,486.8,48.87
114.3,4.03,4.23,10.57,27,2.66,89.9,0.168,10.93,489.6,32.89
114.3,2.93,3.6,10.89,15,2.11,66.5,0.403,6.55,497.6,56.73
114.3,3.55,4.49,11.54,50,2.31,93.3,0.292,3.38,485.7,57.3
114.3,2.89,3.51,10.09,18,2.54,47.7,0.273,11.1,493.4,36.78
114.3,3.75,4.64,9.11,51,1.98,86.5,0.346,5.98,502.8,56.23
114.3,3.19,3.83,9.34,58,2.03,54.4,0.368,10.48,497.9,34.96
114.3,3.51,4.58,9.35,54,2.12,96.8,0.306,10.61,515.0,31.06
114.3,3.31,4.15,8.67,67,2.06,57.2,0.33,5.45,494.3,62.74
114.3,2.69,3.51,10.44,60,1.69,57.0,0.386,1.82,496.3,77.74
114.3,3.53,4.67,9.12,27,2.02,75.3,0.303,3.94,504.9,49.5
114.3,3.07,3.44,10.27,52,2.28,62.2,0.353,11.98,540.4,29.33
114.3,3.77,4.54,9.78,38,2.4,85.0,0.206,12.87,485.8,27.7
114.3,3.19,3.87,9.94,33,2.21,55.3,0.237,12.39,534.6,26.26
114.3,3.27,4.59,10.78,15,2.11,95.0,0.375,13.98,478.7,30.26
114.3,4.06,5.11,9.24,52,2.53,101.7,0.233,11.85,504.1,28.14
114.3,4.37,5.68,10.89,19,3.4,154.9,0.348,2.74,493.9,68.88
114.3,3.65,4.15,12.19,30,2.75,95.5,0.319,10.89,485.3,36.44
114.3,3.17,3.99,10.48,38,1.68,58.9,0.303,9.69,512.6,37.76
114.3,3.13,4.1,8.91,41,1.63,72.8,0.268,6.57,510.8,52.87
114.3,2.93,3.82,9.14,15,2.24,62.3,0.398,5.01,491.3,61.63
114.3,3.02,3.89,9.65,48,1.93,57.1,0.46,14.99,462.3,32.08
114.3,3.18,3.97,9.17,50,1.74,64.3,0.353,11.09,492.4,38.2
114.3,4.18,5.25,8.61,18,3.2,119.7,0.354,11.22,502.5,34.68
114.3,3.21,3.69,10.22,14,2.23,62.1,0.279,9.93,500.0,43.59
114.3,2.75,3.29,9.69,53,1.92,46.0,0.24,7.99,513.6,43.93
114.3,3.32,4.19,10.27,25,2.47,81.4,0.327,2.93,534.8,63.18
114.3,3.38,4.08,11.66,49,1.94,82.5,0.257,8.25,507.4,47.62
114.3,3.32,4.28,9.67,58,1.82,84.9,0.197,13.0,510.2,25.0
114.3,3.66,4.68,8.34,36,2.95,76.6,0.39,7.65,502.7,60.47
114.3,3.33,4.44,9.44,60,1.88,68.0,0.394,10.69,521.1,40.52
114.3,3.65,4.77,11.08,44,2.12,115.3,0.266,7.14,509.6,41.49
114.3,2.95,3.73,10.95,24,1.76,55.2,0.348,4.58,513.5,67.48
100.0,4.1,5.31,10.73,23,3.4,166.2,0.405,8.89,532.6,45.8
114.3,3.41,4.47,9.13,16,2.46,94.3,0.345,10.19,504.1,40.51
114.3,3.48,4.24,11.05,67,2.64,96.5,0.241,11.03,495.1,34.94
114.3,2.95,3.63,11.37,27,2.05,71.0,0.313,5.95,508.0,57.9
114.3,3.51,4.37,9.03,29,2.22,80.4,0.43,12.55,520.5,37.45
114.3,3.59,4.39,9.94,23,2.62,80.1,0.349,7.29,509.0,47.82
114.3,2.77,3.64,12.83,42,1.54,74.2,0.37,6.74,519.1,54.54
114.3,2.55,3.1,8.96,23,1.51,45.0,0.356,6.76,488.0,50.91
114.3,3.43,4.55,7.61,25,2.54,70.1,0.266,2.37,484.4,64.05
114.3,3.08,3.78,11.94,43,1.76,86.1,0.283,13.52,490.2,31.55
114.3,3.42,4.37,11.59,54,2.27,89.9,0.355,7.37,477.2,53.99
114.3,2.72,3.43,9.36,14,1.82,45.0,0.391,6.31,502.0,56.72
114.3,2.6,3.1,9.84,18,1.66,45.0,0.412,5.43,492.3,63.33
100.0,3.39,4.24,8.29,33,1.78,79.4,0.266,11.47,522.1,34.36
114.3,3.14,3.99,10.12,21,1.98,64.6,0.362,9.75,476.8,37.92
114.3,2.35,2.93,11.63,56,1.44,45.0,0.419,7.63,528.0,53.73
114.3,3.9,4.57,9.24,25,2.71,94.6,0.256,11.48,482.3,40.92
114.3,2.71,3.67,11.23,14,1.87,63.9,0.442,5.48,477.7,66.24
114.3,4.46,5.6,10.65,67,3.17,162.0,0.453,10.05,485.2,45.21
114.3,3.02,3.63,10.81,33,1.89,61.6,0.527,7.77,535.1,56.27
114.3,3.48,4.69,9.32,41,2.51,69.8,0.347,6.52,499.3,50.52
114.3,4.04,5.2,9.5,56,2.24,88.9,0.348,7.75,509.5,52.71
114.3,3.97,4.67,7.41,50,2.12,69.2,0.392,8.68,496.7,55.03
114.3,4.19,4.98,9.21,60,2.07,91.1,0.39,2.02,498.4,74.64
114.3,2.61,3.23,11.63,50,1.67,51.7,0.414,10.57,490.9,43.4
114.3,2.79,3.54,8.7,25,1.73,56.2,0.389,5.32,500.9,57.67
114.3,3.4,4.38,8.91,50,2.53,69.0,0.322,2.97,508.9,65.96
114.3,3.68,4.81,10.9,62,2.31,100.1,0.422,13.57,530.2,29.39
114.3,3.29,4.23,10.56,62,2.31,80.7,0.25,14.37,466.3,25.0
114.3,2.56,3.41,10.97,57,1.91,49.6,0.33,8.77,529.0,51.04
89.0,3.52,4.43,8.37,41,2.2,71.2,0.447,3.97,509.5,63.88
114.3,3.21,3.87,13.59,60,2.26,100.2,0.236,13.56,493.4,25.0
114.3,3.21,4.01,8.3,28,2.44,66.2,0.279,9.57,490.1,41.12
114.3,2.3,2.87,10.22,19,1.34,45.0,0.38,11.12,518.8,44.04
114.3,3.66,4.01,9.78,57,2.5,102.4,0.36,11.3,504.1,38.85
114.3,3.37,4.09,8.34,33,2.1,68.4,0.264,8.06,472.4,38.46
114.3,4.11,5.21,9.48,63,2.41,147.9,0.299,2.81,506.5,63.07
127.0,3.27,4.0,10.03,27,1.82,64.0,0.241,7.43,520.6,41.36
114.3,3.55,4.31,9.09,15,2.08,99.8,0.404,7.23,515.4,53.35
114.3,3.67,4.79,11.31,22,2.52,103.5,0.311,11.06,488.7,39.64
114.3,2.51,3.0,9.77,50,1.39,45.0,0.464,6.52,475.8,49.83
150.0,4.48,5.79,8.12,33,2.85,113.8,0.336,7.48,494.1,47.45
114.3,3.11,3.63,8.0,39,2.31,48.1,0.314,11.38,550.0,32.44
114.3,3.52,4.99,10.85,42,2.52,106.1,0.306,10.91,472.2,30.04
114.3,3.59,4.44,7.92,14,2.29,63.5,0.312,11.63,484.8,35.09
114.3,2.93,3.61,10.44,48,2.39,68.2,0.338,13.49,507.1,25.0
114.3,4.13,5.45,10.62,19,3.4,120.9,0.518,10.29,497.8,43.57
114.3,3.42,4.19,8.61,50,2.33,74.3,0.305,6.15,496.4,55.97
127.0,3.2,4.28,11.25,66,1.55,103.8,0.307,5.59,536.4,60.68
114.3,3.36,4.28,7.6,18,2.52,57.0,0.335,10.43,484.6,37.96
114.3,3.64,4.53,10.42,46,1.81,105.5,0.412,10.49,499.7,38.05
114.3,3.3,4.09,9.94,62,2.64,79.9,0.223,6.87,503.6,42.89
114.3,3.7,4.89,9.83,64,2.83,129.8,0.364,10.78,485.5,43.45
114.3,2.54,3.21,8.35,27,2.09,45.0,0.269,7.03,474.1,47.28
114.3,2.96,3.78,8.69,25,2.08,59.7,0.371,11.08,504.8,37.64
114.3,2.34,3.0,12.27,55,1.52,45.0,0.293,14.54,532.6,25.0
114.3,4.2,5.28,11.7,33,2.7,132.4,0.157,5.94,507.3,44.7
114.3,4.19,5.37,11.04,66,2.67,143.8,0.358,10.72,501.6,45.67
114.3,3.58,4.45,11.32,63,2.72,119.4,0.357,10.98,501.5,35.54
114.3,2.84,3.55,11.18,37,2.1,51.0,0.287,11.16,495.3,29.94
114.3,4.38,5.18,9.55,56,3.02,132.5,0.282,9.14,521.3,35.57
114.3,3.03,3.84,10.07,47,1.88,63.8,0.232,9.24,490.9,35.21
114.3,3.2,3.67,7.94,38,2.85,45.0,0.388,7.3,475.6,48.61
114.3,3.37,4.27,9.87,63,2.54,80.3,0.396,2.91,471.5,70.12
114.3,3.5,4.32,11.66,42,1.93,121.1,0.264,13.89,501.4,25.0
114.3,3.59,4.57,9.08,52,2.29,68.5,0.29,7.56,519.1,42.34
114.3,3.61,4.28,11.43,44,2.72,95.6,0.325,8.99,504.3,45.98
150.0,3.23,3.63,10.13,60,1.99,56.1,0.5,7.21,494.3,66.08
114.3,3.6,4.43,8.06,56,2.55,65.8,0.371,6.29,508.3,57.26
114.3,3.21,3.82,8.45,63,2.43,68.9,0.259,10.67,503.4,25.0
114.3,3.56,4.07,11.29,36,1.46,86.4,0.353,7.44,514.9,58.55
114.3,3.52,4.57,10.77,57,2.37,114.8,0.227,10.61,523.9,35.37
114.3,3.64,4.9,10.14,51,2.46,115.7,0.384,13.37,482.8,38.8
114.3,3.59,4.31,9.62,33,2.32,77.5,0.456,14.16,460.0,36.55
114.3,3.1,3.86,10.29,36,2.18,62.9,0.456,7.25,493.7,61.78
127.0,3.51,4.32,11.23,58,2.57,81.4,0.385,11.3,481.7,39.66
150.0,3.59,4.35,12.07,65,2.48,89.7,0.286,6.98,515.0,47.89
114.3,2.72,3.51,12.13,29,1.77,66.9,0.232,9.4,487.0,37.88
